Timestamp,market-price
2022-07-01 00:00:00,19865.7
2022-07-02 00:00:00,19226.7
2022-07-03 00:00:00,19224.75
2022-07-04 00:00:00,19288.97
2022-07-05 00:00:00,20208.45
2022-07-06 00:00:00,20181.91
2022-07-07 00:00:00,20545.61
2022-07-08 00:00:00,21633.44
2022-07-09 00:00:00,21636.45
2022-07-10 00:00:00,21582.6
2022-07-11 00:00:00,20834.61
2022-07-12 00:00:00,19946.31
2022-07-13 00:00:00,19292.99
2022-07-14 00:00:00,20223.69
2022-07-15 00:00:00,20568.9
2022-07-16 00:00:00,20835.61
2022-07-17 00:00:00,21197.1
2022-07-18 00:00:00,20774.23
2022-07-19 00:00:00,22538.08
2022-07-20 00:00:00,23403.29
2022-07-21 00:00:00,23227.22
2022-07-22 00:00:00,23154.09
2022-07-23 00:00:00,22687.08
2022-07-24 00:00:00,22461.7
2022-07-25 00:00:00,22582.4
2022-07-26 00:00:00,21300.72
2022-07-27 00:00:00,21267.33
2022-07-28 00:00:00,22950.29
2022-07-29 00:00:00,23856.25
2022-07-30 00:00:00,23792
2022-07-31 00:00:00,23647.99
2022-08-01 00:00:00,23326.49
2022-08-02 00:00:00,23298.94
2022-08-03 00:00:00,22981.77
2022-08-04 00:00:00,22831.85
2022-08-05 00:00:00,22608.3
2022-08-06 00:00:00,23295.14
2022-08-07 00:00:00,22947.19
2022-08-08 00:00:00,23174.25
2022-08-09 00:00:00,23816.32
2022-08-10 00:00:00,23156.31
2022-08-11 00:00:00,23959.92
2022-08-12 00:00:00,23953.77
2022-08-13 00:00:00,24418.38
2022-08-14 00:00:00,24447.13
2022-08-15 00:00:00,24314.89
2022-08-16 00:00:00,24096.19
2022-08-17 00:00:00,23876.29
2022-08-18 00:00:00,23332.09
2022-08-19 00:00:00,23193.99
2022-08-20 00:00:00,20843.22
2022-08-21 00:00:00,21150.33
2022-08-22 00:00:00,21520.51
2022-08-23 00:00:00,21402.93
2022-08-24 00:00:00,21516.02
2022-08-25 00:00:00,21377.51
2022-08-26 00:00:00,21597.93
2022-08-27 00:00:00,20233.32
2022-08-28 00:00:00,20035.59
2022-08-29 00:00:00,19550.07
2022-08-30 00:00:00,20290.41
